msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
128,452,1663363597807,1663363597851,44,1663363598259,1663363598259,0
128,412,1663363598703,1663363598755,52,1663363599114,1663363599115,1
128,555,1663363599578,1663363599619,41,1663363600132,1663363600133,1
128,401,1663363600621,1663363600671,50,1663363601022,1663363601022,0
128,405,1663363601460,1663363601512,52,1663363601865,1663363601865,0
128,470,1663363602279,1663363602331,52,1663363602748,1663363602749,1
128,526,1663363603173,1663363603218,45,1663363603698,1663363603699,1
128,503,1663363604104,1663363604166,62,1663363604606,1663363604607,1
128,604,1663363605023,1663363605066,43,1663363605627,1663363605627,0
128,425,1663363606107,1663363606158,51,1663363606532,1663363606532,0
128,402,1663363606971,1663363607025,54,1663363607373,1663363607373,0
128,554,1663363607804,1663363607848,44,1663363608357,1663363608358,1
128,390,1663363608802,1663363608848,46,1663363609192,1663363609192,0
128,394,1663363609608,1663363609647,39,1663363610002,1663363610002,0
128,390,1663363610416,1663363610469,53,1663363610806,1663363610806,0
128,449,1663363611278,1663363611329,51,1663363611727,1663363611727,0
128,607,1663363612120,1663363612355,235,1663363612727,1663363612727,0
128,442,1663363613152,1663363613208,56,1663363613594,1663363613594,0
128,504,1663363614007,1663363614093,86,1663363614511,1663363614511,0
128,442,1663363614950,1663363614996,46,1663363615392,1663363615392,0
128,654,1663363615874,1663363616113,239,1663363616528,1663363616528,0
128,432,1663363617013,1663363617062,49,1663363617445,1663363617445,0
128,464,1663363617859,1663363617951,92,1663363618322,1663363618323,1
128,395,1663363618749,1663363618789,40,1663363619143,1663363619144,1
128,463,1663363619650,1663363619786,136,1663363620113,1663363620113,0
128,436,1663363620524,1663363620581,57,1663363620959,1663363620960,1
256,1080,1663363622959,1663363623325,366,1663363624038,1663363624039,1
256,1232,1663363624870,1663363625286,416,1663363626102,1663363626102,0
256,1306,1663363626923,1663363627182,259,1663363628228,1663363628229,1
256,1050,1663363629128,1663363629401,273,1663363630177,1663363630178,1
256,1029,1663363631078,1663363631327,249,1663363632107,1663363632107,0
256,1032,1663363633009,1663363633196,187,1663363634040,1663363634041,1
256,1263,1663363635054,1663363635534,480,1663363636317,1663363636317,0
256,1214,1663363637116,1663363637306,190,1663363638329,1663363638330,1
256,999,1663363639316,1663363639595,279,1663363640314,1663363640315,1
256,909,1663363641128,1663363641320,192,1663363642036,1663363642037,1
256,998,1663363642828,1663363643076,248,1663363643826,1663363643826,0
256,957,1663363644697,1663363644899,202,1663363645653,1663363645654,1
256,1226,1663363646562,1663363646811,249,1663363647787,1663363647788,1
256,1009,1663363648634,1663363648819,185,1663363649642,1663363649643,1
256,1076,1663363650493,1663363650745,252,1663363651568,1663363651569,1
256,831,1663363652439,1663363652603,164,1663363653268,1663363653270,2
256,1052,1663363654189,1663363654453,264,1663363655240,1663363655241,1
256,968,1663363656052,1663363656214,162,1663363657020,1663363657020,0
256,865,1663363657835,1663363657983,148,1663363658699,1663363658700,1
256,1333,1663363659494,1663363660003,509,1663363660827,1663363660827,0
256,884,1663363661735,1663363661917,182,1663363662618,1663363662619,1
256,858,1663363663509,1663363663658,149,1663363664367,1663363664367,0
256,1125,1663363665166,1663363665396,230,1663363666290,1663363666291,1
256,829,1663363667093,1663363667266,173,1663363667921,1663363667922,1
256,962,1663363668718,1663363668863,145,1663363669679,1663363669680,1
256,1085,1663363670498,1663363670804,306,1663363671583,1663363671583,0
256,1087,1663363672374,1663363672611,237,1663363673461,1663363673461,0
256,830,1663363674209,1663363674353,144,1663363675039,1663363675039,0
256,873,1663363675758,1663363675985,227,1663363676631,1663363676631,0
256,853,1663363677371,1663363677520,149,1663363678223,1663363678224,1
512,1782,1663363682179,1663363682441,262,1663363683960,1663363683961,1
512,2652,1663363686692,1663363687020,328,1663363689344,1663363689344,0
512,2242,1663363691336,1663363691752,416,1663363693578,1663363693578,0
512,2036,1663363695707,1663363696164,457,1663363697742,1663363697743,1
512,2309,1663363700131,1663363700649,518,1663363702440,1663363702440,0
512,2292,1663363704462,1663363704870,408,1663363706754,1663363706754,0
512,2147,1663363708709,1663363709139,430,1663363710854,1663363710856,2
512,2066,1663363712831,1663363713253,422,1663363714897,1663363714897,0
512,2206,1663363716862,1663363717303,441,1663363719068,1663363719068,0
512,1929,1663363721146,1663363721553,407,1663363723074,1663363723075,1
512,2115,1663363725072,1663363725603,531,1663363727187,1663363727187,0
512,2200,1663363729073,1663363729488,415,1663363731272,1663363731273,1
512,1921,1663363733283,1663363733694,411,1663363735204,1663363735204,0
512,2002,1663363737328,1663363737731,403,1663363739330,1663363739330,0
512,2279,1663363741364,1663363741760,396,1663363743642,1663363743643,1
512,2770,1663363745858,1663363746347,489,1663363748627,1663363748628,1
512,2876,1663363751752,1663363752314,562,1663363754628,1663363754628,0
512,2817,1663363757405,1663363757923,518,1663363760221,1663363760222,1
512,3445,1663363762847,1663363763392,545,1663363766290,1663363766292,2
512,2893,1663363770395,1663363770928,533,1663363773287,1663363773288,1
512,2762,1663363775944,1663363776396,452,1663363778706,1663363778706,0
512,2704,1663363781271,1663363781740,469,1663363783974,1663363783975,1
512,2773,1663363787335,1663363787799,464,1663363790107,1663363790108,1
512,2720,1663363792787,1663363793268,481,1663363795507,1663363795507,0
512,2717,1663363798161,1663363798643,482,1663363800878,1663363800878,0
512,2591,1663363803512,1663363803947,435,1663363806102,1663363806103,1
512,2679,1663363808906,1663363809401,495,1663363811585,1663363811585,0
512,2601,1663363814435,1663363814974,539,1663363817035,1663363817036,1
512,2628,1663363819753,1663363820223,470,1663363822380,1663363822381,1
512,2847,1663363825026,1663363825525,499,1663363827872,1663363827873,1
